CPU: ID 0x906c0, Processor Type 0x0, Family 0x6, Model 0x9c, Stepping 0x0
Northbridge: 8086:4e24 (unknown)
Southbridge: 8086:4d87 (Jasper Lake)
IGD: 8086:4e61 (unknown)
SBREG_BAR = 0xfd000000 (MEM)


============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0x690000

------- GPIO Group GPP_G -------
0x0600: 0x0000001844000300 GPP_G00      GPIO                
0x0610: 0x0000001944000300 GPP_G01      GPIO                
0x0620: 0x0000001a44000300 GPP_G02      GPIO                
0x0630: 0x0000001b44000300 GPP_G03      GPIO                
0x0640: 0x0000001c44000300 GPP_G04      GPIO                
0x0650: 0x0000001d44000300 GPP_G05      GPIO                
0x0660: 0x0000001e44000300 GPP_G06      GPIO                
0x0670: 0x0000001f44000300 GPP_G07      GPIO                
------- GPIO Community 1 -------

PCR Port ID: 0x6a0000

------- GPIO Group HVCMOS -------
0x0600: 0x0000000040000700 L_BKLTEN     L_BKLTEN            
0x0610: 0x0000000040000700 L_BKLTCTL    L_BKLTCTL           
0x0620: 0x0000000040000700 LVDDEN       LVDDEN              
0x0630: 0x0000000040000702 SYS_PWROK    SYS_PWROK           
0x0640: 0x0000000040000702 SYS_RESETB   SYS_RESETB          
0x0650: 0x0000000040000700 MLK_RSTB     MLK_RSTB            
------- GPIO Group GPP_E -------
0x0660: 0x0000007244000300 GPP_E00      GPIO                
0x0670: 0x0000007384000201 GPP_E01      GPIO                
0x0680: 0x0000007444000300 GPP_E02      GPIO                
0x0690: 0x0000007544000300 GPP_E03      GPIO                
0x06a0: 0x0000007644000300 GPP_E04      GPIO                
0x06b0: 0x0000007744000700 GPP_E05      SATA_LED_N          
0x06c0: 0x0000001844000300 GPP_E06      GPIO                
0x06d0: 0x0000001944000300 GPP_E07      GPIO                
0x06e0: 0x0000001a40880102 GPP_E08      GPIO                
0x06f0: 0x0000001b04000b02 GPP_E09      SML_CLK0            
0x0700: 0x0000001c04000b02 GPP_E10      SML_DATA0           
0x0710: 0x00003c1d44000300 GPP_E11      GPIO                
0x0720: 0x00003c1e44000300 GPP_E12      GPIO                
0x0730: 0x00003c1f44001700 GPP_E13      BSSB_LS0_RX         
0x0740: 0x00003c2044001700 GPP_E14      BSSB_LS0_TX         
0x0750: 0x00003c2144000700 GPP_E15      DDI1_DDC_SCL        
0x0760: 0x00003c2244000702 GPP_E16      DDI1_DDC_SDA        
0x0770: 0x00003c2344000700 GPP_E17      DDI2_DDC_SCL        
0x0780: 0x00003c2444000702 GPP_E18      DDI2_DDC_SDA        
0x0790: 0x0000002544000a00 GPP_E19      Reserved            
0x07a0: 0x0000002644000700 GPP_E20      CNV_BRI_DT          
0x07b0: 0x0000302744000602 GPP_E21      CNV_BRI_RSP         
0x07c0: 0x0000002844000700 GPP_E22      CNV_RGI_DT          
0x07d0: 0x0000302944000602 GPP_E23      CNV_RGI_RSP         
------- GPIO Group JTAG -------
0x07e0: 0x00003c0040000702 JTAG_TD0     JTAG_TD0            
0x07f0: 0x00003c0040000700 JTAGX        JTAGX               
0x0800: 0x00003c0040000702 PRDYB        PRDYB               
0x0810: 0x00003c0040000702 PREQB        PREQB               
0x0820: 0x00003c0040000700 CPU_TRSTB    CPU_TRSTB           
0x0830: 0x00003c0040000702 JTAG_TDI     JTAG_TDI            
0x0840: 0x00003c0040000702 JTAG_TMS     JTAG_TMS            
0x0850: 0x00003c0040000700 JTAG_TCK     JTAG_TCK            
0x0860: 0x00003c0040000700 ITP_PMODE    ITP_PMODE           
------- GPIO Group VGPIO_LNK -------
0x0870: 0x0000000040000400 VGPIO_LNK_DN_0 VGPIO_LNK_DN_0      
0x0880: 0x0000000040000400 VGPIO_LNK_DN_1 VGPIO_LNK_DN_1      
0x0890: 0x0000000040000400 VGPIO_LNK_DN_2 VGPIO_LNK_DN_2      
0x08a0: 0x0000000040000400 VGPIO_LNK_DN_3 VGPIO_LNK_DN_3      
------- GPIO Community 2 -------

PCR Port ID: 0x6b0000

------- GPIO Group CPU -------
0x0600: 0x00003c0040000700 HDACPU_SDI   HDACPU_SDI          
0x0610: 0x00003c0040000700 HDACPU_SDO   HDACPU_SDO          
0x0620: 0x0000000040000700 HDACPU_SCLK  HDACPU_SCLK         
0x0630: 0x0000000040000700 PM_SYNC      PM_SYNC             
0x0640: 0x0000000040000700 PECI         PECI                
0x0650: 0x0000000040000700 CPUPWRGD     CPUPWRGD            
0x0660: 0x0000000040000702 THRMTRIPB    THRMTRIPB           
0x0670: 0x0000000040000700 PLTRST_CPUB  PLTRST_CPUB         
0x0680: 0x0000000040000700 PM_DOWN      PM_DOWN             
0x0690: 0x0000100040000700 TRIGGER_IN   TRIGGER_IN          
0x06a0: 0x0000100040000700 TRIGGER_OUT  TRIGGER_OUT         
0x06b0: 0x0000000040000700 UFS_RESETB   UFS_RESETB          
